Gene_ID	LNCaP_1	LNCaP_2
RP11-758M4.1	0	0
LRRC52	0	0
RASGEF1C	0.119536	0.0570576
LCE3C	0	0
TNMD	0	0
COG4	40.3042	35.3647
OR4F16	0	0
GDE1	18.158	19.5987
OR2T8	0	0
CD209	0	0
RP11-944C7.1	0	0
RBM48	3.76815	4.47131
CASKIN1	4.03586	3.73864
ZNF506	3.93291	4.13865
DIEXF	2.05529	2.03057
BZW2	21.334	21.2295
HTR2B	0.0198525	0
TMEM140	19.2818	19.0411
ANAPC1	5.73358	6.02081
TFDP1	25.354	26.6131
ITGBL1	0.0352818	0.029902
AXIN2	2.45018	2.08482
ANKRD23	0.520122	0.616571
SERPINB10	0	0
TMEM189-UBE2V1	1.93838e-05	4.16878e-05
KANK3	0.966537	1.10078
COL7A1	1.02887	1.21863
TOMM22	43.9878	40.7933
AUH	25.4516	27.6871
ABHD10	24.7657	27.0814
FCHO1	0.267806	0.0425798
AFMID	19.7724	21.0701
MARK3	19.4329	21.8364
PYY	0	0
RPP21	72.0467	67.544
MCPH1	3.8676	4.41293
FAM156A	5.57257	4.59047
SRL	0.0517627	0.0474544
MFNG	0	0
DPRX	0	0
SERTAD1	2.33991	1.6857
GLCE	1.25166	1.20132
RREB1	24.6559	6.7979
SORL1	3.73151	3.29784
TNNT2	0.0652132	0.293314
TMEM211	0	0
DHX57	2.12115	1.9906
C15orf48	0	0
SLC38A5	0	0.0653988
UFSP2	9.46311	10.355
MKL2	13.7776	15.3588
OGN	0	0
DNTT	0	0
SLC5A1	0.0647746	0.0468743
RBL2	23.6627	24.6862
SH3BP2	13.1222	13.9159
HPS1	11.7369	11.7772
C1orf162	0	0.0581641
BLVRA	57.4259	51.606
KCNS2	0	0.00756287
TMCC3	0.0959451	0.362003
RP11-363G10.2	0	0
LTB	0.0624149	0
ACTR8	8.86406	8.39095
NMUR2	0	0
ZNF473	3.41467	3.10884
ARHGAP6	15.3921	16.4404
RSPH6A	0	0
CELA2A	0	0
BCKDHB	22.9165	20.0614
ATPAF2	20.281	20.5412
SH3BGR	8.00088	7.43478
TPX2	18.3505	18.5432
C3orf67	4.72802	3.57812
KBTBD6	4.49375	4.66733
UNC80	0.266436	0.214378
AZIN1	33.3594	36.0928
ULK2	5.9183	5.52039
SLC2A4RG	79.4593	75.5615
TMEM79	5.31638	5.73709
L3MBTL2	14.7282	14.2424
PKP3	43.5291	43.2618
CRYBA4	0	0
NOXA1	3.53676	3.30384
SLCO3A1	0	0
AP000304.12	4.73074e-281	0
NSUN7	0	0.022852
HOXC5	0.45986	0.756466
S100B	0	0
PNMA6B	0.629547	0.415027
EFTUD1	6.53064	6.57131
ALX1	0	0
CEP95	4.34495	5.07291
USP15	10.4107	9.67291
DUSP15	0.972702	0.619856
CLASRP	8.59088	7.92999
PRMT6	21.4741	19.6149
FSCB	0	0
FAM27E3	1.36383	1.00037
MYH8	0	0.00648532
H1FX	92.1061	91.9431
NCBP2	31.4836	30.5492
COL6A5	0	0
FBXO10	3.36996	3.58821
MYCL	1.86513	1.84976
OR56A4	0	0
CEP19	1.6658	1.51271
VMA21	5.66683	5.54677
CDH19	0	0
RHOB	35.6747	34.7311
PGAP3	4.71229	4.32548
OSBP	27.1021	27.6382
FLT1	0	0
XAGE5	0.330275	1.03792
CPNE4	0.0152124	0.141702
MAT2A	62.8876	64.7033
DCAF11	39.8619	43.1084
CCT7	92.456	91.6736
PAGE1	4.54764	4.47142
WDR88	0.108318	0.155221
CGN	6.07422	6.0169
KLF15	3.2355	2.84404
SH3YL1	5.29312	5.6518
CELF2	0.0528334	0.00484618
PIN1	108.153	112.447
SFRP1	0.0108926	0.0103889
SELPLG	0.0197513	0
KRTAP20-3	0	0
CBR1	22.7495	20.6321
MTRF1L	4.13431	4.30363
VAC14	7.28182	7.27549
HSD11B1L	7.15502	7.81143
SASH1	4.71172	4.81825
HIST1H3C	0	0
NCKAP5L	1.8391	1.88846
RNF183	0.0357602	0.0480223
RGS17	0.779326	0.970434
BSND	0	0
OR5B3	0	0
GHITM	184.791	187.515
ZNF217	19.8202	19.4357
PCDHGB6	0.226238	0.336101
EPHA2	1.27501	1.02348
FANCE	2.9546	3.55752
FMO5	0.595454	0.821014
ZNF844	4.03407	3.60337
DUSP27	3.07613	3.03321
C15orf38-AP3S2	14.0631	13.7118
TRIB2	0.0381001	0.0447886
VPS33A	4.32907	5.37548
ADH5	19.8523	20.8001
MYO1F	0.116789	0.0742508
OR51E2	3.3753	3.46841
ABRACL	8.43667	9.52923
TAS2R42	0	0
OGDH	71.8377	70.6209
DBP	16.9961	16.2415
TMEM205	253.81	256.505
LAMA5	10.2209	9.55994
ERVMER34-1	0.689188	0.752023
DENND3	0.765237	1.44376
PBLD	2.5412	2.57085
PIGG	17.536	16.8191
PDE8A	3.16718	3.50538
UBA1	87.6708	92.1277
HIST1H2BH	0	0
SPINK2	0.36686	0.185783
LNX1	0.308933	0.702897
RFPL3S	0	0
C9orf24	0.0444653	0.169969
SPTBN5	1.00802	0.843054
FOXP3	0.56777	0.768053
SLC15A1	0	0
PSMD11	31.8269	31.932
SCARB1	39.3464	34.8386
FLVCR1	4.92467	5.08008
LCE4A	0	0
ACTR5	3.39207	4.05726
GOLGA6L9	1.36181	1.03141
HNRNPK	237.354	250.662
NTN5	0.0500855	0.0956862
VSIG1	0	0
FTSJ1	14.4949	14.1493
TRIM6-TRIM34	0.229367	1.83189e-06
TMPRSS15	0	0
PNPLA2	30.2513	28.1971
MYBBP1A	29.3968	29.2228
DGKH	3.78887	4.13989
OSBPL6	0.939957	0.906227
DIRC3	0	0
NSUN2	26.8884	27.7949
MMGT1	6.14996	6.08106
PRDM15	2.06472	1.99456
XKR7	0	0
ZBTB2	1.48896	1.63296
VSTM2A	0	0
ZGPAT	11.7562	12.0352
FTCDNL1	1.58386	3.45968
TEAD1	3.78826	4.4279
PAM	2.06077	1.98598
AC106876.2	0	0
FAM124B	0	0
KIAA1279	14.6261	15.6542
NSUN4	13.4655	14.3861
GART	26.7246	25.297
SEMA5B	0.0305248	0.12988
ST8SIA1	0.0367645	0.0351565
DHRS12	3.98712	5.32488
PLA2G12B	0	0
TMEM150C	0.479848	0.416592
CGB	0	0
ZFP36L1	22.5957	22.8646
EDA2R	0.0126638	0.0545692
DCTD	52.6263	52.6654
HSF2	3.54389	4.46946
ACVR1	2.2936	2.80871
HTR2A	0	0.00819929
ACRC	0.217901	0.222776
NIPSNAP3A	47.2058	44.9122
HAND1	0	0
RAD18	3.57471	3.86859
C11orf63	0	0
XPO4	1.63807	1.60683
CLPX	14.8816	14.4477
ANKRD33	0.038568	0.0302887
NAGA	11.1708	10.6238
CACNA1H	0.50339	0.665488
LIPI	0	0
FAM83D	7.92276	7.87419
DCAF12L2	0	0
MEF2A	8.78286	7.71791
CTAGE4	0.853927	0.991014
CCDC79	0	0.0565642
TMEM154	0.234952	0.265557
ARMC9	3.37585	3.80785
ZNF597	1.05516	0.983826
SOAT1	13.3962	15.9542
GPR68	0.0154208	0.0345397
PLD5	0	0
ZNF564	1.73745	1.68585
PIF1	1.49407	1.4252
SDHA	51.8565	50.5719
RP11-342M21.2	0	0
RPGRIP1	0.132444	0.160334
CXCL5	0	0
TAF1C	13.2264	12.5338
OR1N2	0	0
PABPC5	1.43203	1.32439
SZRD1	31.3596	31.8482
TOPORS	3.20929	3.60831
C17orf67	0.38277	0.301001
POLR3H	34.2231	31.7297
TMEM161B	5.25105	5.96578
CNFN	40.4328	45.8257
CADPS2	1.3109	1.29396
OR52K2	0	0
FDPS	53.5938	53.8495
HSBP1L1	18.4962	20.1597
SFR1	2.71712	3.20434
C3orf49	0	0
CEP290	5.80022	5.70489
WEE2	0	0.0134141
BMP5	0	0
DGKQ	8.97686	8.94155
MAPK8IP1	16.7834	17.3812
ZNF444	26.757	26.3188
CEP164	7.11043	7.01014
LPAR6	1.58155	1.6658
CNOT11	11.3517	12.8736
KLHL23	7.09698	6.40984
ACTG2	0.158409	0.148747
DNAJB12	18.0877	18.3088
WBP4	6.37744	6.7929
GSTK1	32.9251	32.6475
TWSG1	11.1206	11.0522
UTP3	11.2971	11.5348
IFIT3	0.352501	0.253992
PRELP	0	0
PM20D2	0.061913	0.0337361
METTL21B	3.60332	4.16831
VN1R1	0.150294	0.107799
SEPT9	75.1868	70.9945
RPS4Y1	221.744	223.003
PKIA	0.130185	0.261214
SCRT2	0	0
ZCCHC17	16.1098	15.2092
CMSS1	21.1725	20.3588
MEIG1	0.635628	0.423599
UBE3A	19.4544	21.5022
KRT12	0	0
GSTA3	0	0
TAPBP	28.8201	24.9657
RAB43	5.1921	5.40567
C6orf222	0	0
GBP5	0	0
KRT73	0	0
BPIFB3	0	0
TCP10	0	0
MAPK8	15.4635	16.8232
GNB2	178.236	176.697
DYRK1B	16.7118	19.5538
AHR	0.483698	0.548371
SLC12A7	25.8227	24.6975
UBE3B	10.6902	9.22386
ZNF260	2.92054	3.30439
CSNK2A2	12.7832	11.4811
PDCD1LG2	0	0
LRCH4	18.0922	17.3551
AMZ2	67.9448	69.2823
NBPF15	5.79305	6.02624
KCND1	0.0941965	0.0863169
STAT1	11.0826	12.2465
FOLR2	0	0
AC010327.2	1.64501	1.75725
RAB12	9.60163	8.98652
ZNF575	0.680349	0.843782
NR2E1	0.0167524	0
SLIRP	186.878	188.064
TTC1	31.4518	32.9489
SAV1	7.65324	5.94084
SORCS3	0	0
C4orf19	0.0702088	0.156876
EIF2S2	76.803	73.2615
MFAP3L	2.8758	3.04909
WDR38	0	0
CHST4	0	0
FDXR	13.9814	14.3623
VWA7	0.781895	0.702642
DNAJB11	52.4935	56.7539
RGPD8	0.999463	1.05107
HSD17B1	2.84348	2.29205
PIP4K2B	10.4392	11.1027
LSMEM2	2.04975	2.3265
PARVB	18.1648	22.8159
ZNF850	1.2295	0.77637
AHSA2	3.65883	3.53201
HTATIP2	7.30316	5.2438
TSPYL1	36.3161	36.3343
PRH2	0	0.101295
AL589739.1	0	0
DYNC1LI2	65.5188	70.3528
TNFRSF18	0.905095	0.305752
TEX10	4.11861	4.66788
SOCS3	0	0
C9orf153	0	0
ZDHHC9	19.1222	21.6733
RPRD1A	39.1639	40.4581
C17orf78	0.027906	0
RALBP1	10.5286	11.9096
OTUB1	51.3762	51.731
DPP6	0	0
BICC1	0	0
ACTR3	46.9749	45.0078
OLFML1	0.0155583	0
CDRT15L2	0	0
DDX5	233.013	247.903
C19orf57	3.57448	3.76039
NPRL2	11.928	13.1114
TRAK2	6.23499	6.78957
ENTPD5	8.46646	8.34976
PAG1	0.371124	0.39301
ZNF608	1.9519	2.13885
ZMYND12	3.41338	4.09804
C8orf44	1.26276	1.94274
DRAM2	5.53884	5.07906
GPR160	7.58073	8.72479
ELL	6.94121	6.55604
TNFAIP6	0	0
RIMS3	0.483818	0.536644
PPFIA4	0.488823	0.407573
IGBP1	25.1493	25.2001
IGFBP7	0.372663	0.453421
USP16	11.7939	12.4095
GRID2	0	0
C9orf57	0	0
COL8A1	0	0
ZDHHC18	2.33922	3.39861
TLDC2	0	0.0954271
CACNG5	0	0
ANKRD20A4	0.0735874	0.145199
SLC26A7	0.0164428	0
CBLN2	0.189849	0.245225
TRPM7	6.73124	7.16416
AGTRAP	84.181	88.1805
MMD	3.23501	3.09867
LAMC2	0.00970792	0
SPATA31D1	0	0
SIRT1	5.89824	5.87201
TAL2	0	0.104423
FAM81A	0.822983	1.6645
FAM209A	0	0
ZSCAN9	3.04116	3.23554
HBCBP	0	0
MAVS	14.9445	15.2214
UGT2B28	0.100363	0.0298536
KCNJ9	0.0100641	0.086382
RP11-180C1.1	0	0
BRINP3	0.172534	0.185845
C4orf22	0	0
NIF3L1	7.55228	8.81397
PIAS4	5.70502	6.18137
AC097381.1	0.0382319	0.0731304
AC139768.1	0	0
CHN2	0.0309538	0
PTPLAD2	0.421556	0.342107
AKAP3	0.155796	0.281135
PPM1A	14.2015	14.4498
IGSF5	0.196557	0.104265
LY6H	0	0.0550833
OR2B6	0.0582491	0.0558229
RASGRP4	0	0
TRIM52	2.92161	3.10307
EID3	0.0328306	0
SYNGR1	20.2252	20.8355
SHROOM1	7.28416	6.94317
PTPRF	112.7	109.937
SLC51A	1.67576	1.52644
RTP3	0	0
KCNN3	0.0281929	0
IK	81.7183	83.0585
FBF1	7.23976	6.5548
FXR2	32.8218	32.391
TFAP2A	2.16445	3.04355
CDK11A	29.3524	28.3445
CHRNA1	0	0
MAL2	57.8476	58.1257
CTD-2547L24.3	0	0
AL646016.1	0	0
ADAMTS17	0.429806	0.776486
PMPCB	71.5038	70.9896
INO80B	22.3854	21.1978
HTN3	0	0
TLCD1	37.6074	38.0862
TMEM70	22.7804	29.6321
SNRNP48	9.74467	10.3291
DIP2C	6.20935	5.16708
TMED5	10.0528	10.1731
LACE1	0.933024	1.45248
SAMD10	5.13789	5.60485
POTEE	0.0208734	0.0538389
POU1F1	0	0
RPF1	45.8788	43.9024
SRRD	3.54813	3.89302
IRF3	27.7478	26.8641
ACY3	0	0
IL1R1	3.97896	4.70233
SYPL2	0	0
GTF3C2	24.0318	22.013
GDAP1	4.08174	4.98507
DBNDD2	2.2349	1.39814
FAM175B	4.13741	3.75495
KPNA1	10.2634	12.0761
AP1AR	10.6761	8.71364
CHD3	77.2379	76.9898
WWP2	15.7707	18.1984
TBC1D16	16.0896	15.4821
TAS2R16	0	0
BPIFC	0	0
GOLGA2	19.9261	17.83
CACNG7	0	0.0502724
VGLL3	0	0
FSD2	0.102169	0.140013
NOL10	7.42165	7.90024
NRAP	0	0
ZFP62	6.21858	7.77308
AC023590.1	0	0
IDH3G	35.9796	33.3388
FBXO45	4.02816	4.27117
SLC35D3	0	0
C12orf73	11.8829	11.423
LCT	0	0
SNTB1	0	0
CLDN8	1.85431	2.83284
PPP4R1L	0.319882	0.485791
TEAD4	5.99306	6.50658
MT-ND2	1560.21	1526.88
LZTS3	2.72645	2.37943
AC007216.2	0	0
CYP2C19	0.889705	0.482261
E2F8	1.15465	1.16586
REEP5	36.503	37.0895
AL589765.1	0	0.0193613
GOPC	4.86973	4.74169
TINAG	0	0
PEA15	30.9987	30.289
ELP4	6.31522	5.83046
LAMB4	0.0498839	0.0627272
KIF18B	4.01078	3.80767
MCM3AP	14.6286	14.7807
SH3D21	3.22757	3.14798
KRT83	0	0
ZNF484	0.603921	0.665368
EVPL	6.76325	6.98419
CD99	89.877	91.1955
EMC1	9.40133	9.80157
CXorf23	0.778897	0.646064
ATG5	5.47734	5.61313
SYT1	0.185163	0.563833
MBD3	53.0581	49.8919
AC092291.2	0	0
BECN1	22.7237	26.9727
GMPS	19.6346	20.5853
GJB4	0	0.0291369
INA	0.0662666	0.0379306
IDH3B	37.6325	34.8631
PLAC9	0	0
DPY30	81.2775	71.1695
PAQR5	0.114018	0.243648
STX6	9.90611	9.39864
TCN2	0.0235416	0.0234056
OR1L6	0	0
MSRB1	13.9488	14.2126
CNOT10	11.5942	12.3786
SEC14L4	0	0
PTPRQ	0	0
STON1	0.447135	0.541279
SCG2	0.0340284	0.0324751
ZNF66	1.01372	1.71287
IPPK	3.45907	3.87862
ARF6	59.7052	55.8128
GCNT6	0.078984	0
UBA2	18.9523	18.2621
FGB	0	0
NEK3	0.635285	0.84177
SUMF2	79.5199	84.4686
RYR1	0.0132222	0.00755965
AL162389.1	0	0
CTDSP1	28.9475	28.9717
GKN1	0	0
TMEM231	3.93358	4.05433
CAPZB	58.9622	60.0809
C9orf139	0.0332141	0.0211193
SOWAHA	0.073908	0.0470006
EZR	30.5624	29.5977
ZNRF3	2.97178	3.6921
WRAP53	5.95932	5.64865
GLRX3	47.0288	48.1856
CCL28	0.0687012	0.0524352
UNC5C	0.106283	0.0701302
GML	0	0
SPSB3	8.72767	9.41635
IQCE	8.00573	8.21786
MROH8	0.589379	0.87403
ZNF395	11.0692	7.30448
AP001094.1	0	0
SYNGAP1	3.08534	2.76502
AP000695.1	0	0
RAB30	5.41261	5.51679
PTPLA	0.150727	0.253446
HCRT	0	0
NR4A1	7.17712	7.46243
PDE7A	2.64694	3.02041
KRT81	0	0
CATSPERB	0.0234098	0.115631
HOXB6	0.649287	0.673721
EDNRA	0	0
EIF5	72.3064	78.9059
SPINK9	0	0
AIM1L	0.315362	0
NGDN	18.8456	18.3429
ANKZF1	14.186	14.6083
HIGD1A	51.7833	51.8242
SV2B	0.00358457	0.00341635
DUSP12	8.69921	9.93245
MYO1C	63.785	64.3248
IGFBP4	0.0609766	0.0194038
GPR89A	5.36196	5.245
MAGEA11	0.0248793	0.047544
PTX4	0	0
GABBR2	0	0.0136323
VANGL2	0.301964	0.38388
DAP3	88.469	83.7883
PRR15	0.0278485	0.0798195
C7orf57	0	0.0209642
DPP8	7.9026	7.39255
TNFSF4	0.8217	0.678526
GLA	6.24491	5.57878
NME1-NME2	742.382	782.189
MTPAP	5.14144	7.02199
PBRM1	38.597	37.3358
DIDO1	12.8623	11.9545
TM4SF5	0	0
CHRM2	0	0
EMD	49.8477	48.4125
BCOR	11.8114	11.3347
IRAK4	5.7756	5.59574
LRRC38	0	0
ARHGAP35	9.30198	9.41763
GMFG	0.676605	0.246026
C15orf41	1.61089	1.20749
TFEB	3.58692	3.56809
C2CD5	5.96792	6.28457
SOCS2	2.18186	2.42374
KANSL2	16.4895	16.1231
TMEM74B	0.0805745	0.145281
NEURL	0.0109501	0.106191
PPM1B	5.74902	6.16582
ZNF322	5.52925	6.46695
IL22RA2	0	0
RGS7	0	0
APOBEC3C	0.092398	0.044083
RBP4	0.357111	0.140967
PRSS12	0.017296	0.00824628
VAMP1	1.69088	2.09627
ABCA9	0	0
PIM3	24.1292	22.2824
NTSR1	0.13212	0.135695
PRR4	0.398889	0.38521
ANTXR1	2.70569	2.38523
IER3	1.85054	1.77023
STK38	4.62383	4.97664
ATG10	7.81817	11.0695
EPM2A	2.37368	2.96221
GPT	0.682239	0.611951
TNPO1	26.4015	26.8374
SPP1	0	0
MGST1	170.957	165.966
PPM1J	0.982968	0.762665
CISD2	18.3468	19.643
CEBPE	0	0
PLEKHH2	0.0585002	0.0780737
TMEM109	29.5659	28.3199
AC110792.1	0	0
FAM188B2	0	0
ID1	1.46011	1.17273
PLG	0.0476373	0.083339
RRP1	9.25412	10.006
WIPI1	1.90417	1.85934
PRR23B	0	0
SFXN5	2.62904	2.58598
C15orf53	0	0
LATS2	1.49438	1.42586
SMO	2.99901	2.99539
MIER1	6.04646	6.2893
LSM11	0.528506	0.527541
VPS54	3.13957	3.65544
HEATR3	6.50826	7.98185
METTL9	30.525	32.0857
STX16	10.8833	12.1965
MAMDC4	2.01057	2.11693
SKIDA1	0	0.00591431
SPAST	3.21547	3.10452
DPCR1	0	0.0149071
RANBP9	16.4132	16.3867
AL353354.2	25.7301	30.2128
TAP1	9.26797	9.74482
RPL24	1166.04	1175.6
IGSF11	0.0364944	0.0245468
ZBTB11	3.76672	3.88233
SPATA13	6.1879	4.45075
FOXO3	14.4624	15.5911
EMR1	0	0
IFIH1	2.10703	2.03269
ACTRT2	0	0
ISL2	1.0468	1.34851
IRX3	5.1674	5.10813
PRY2	0	0.0580833
RTN3	140.425	139.758
TIMD4	0	0
JAK1	0.846387	0.658164
ADRBK1	45.6429	43.2516
ZSWIM1	3.55471	3.6809
TMEM223	13.3404	13.8869
TPSAB1	0	0
CDC42BPA	11.8297	12.5189
CSAG1	34.6273	33.1122
GPX5	0	0
PTK6	2.73171	2.89871
AL021920.2	0.323909	0
C21orf33	76.8602	79.7185
POLR1B	8.79275	9.65781
REPS1	6.90148	8.21605
ELK3	0.810501	0.998828
OR8K5	0	0
COG3	9.10741	8.8354
EIF3J	39.0124	37.7592
UPB1	0.194205	0.129769
AP3D1	38.8512	38.9864
CNOT6	9.69326	11.2952
TSTA3	33.8186	31.3184
RNF146	11.9032	11.2713
PPP2CA	33.8039	31.3582
NUF2	6.27268	6.80938
APITD1	24.2395	25.251
LAPTM4A	73.9957	68.7797
AC008267.1	0	0
ALX4	0.501453	0.642002
FERMT3	0.185277	0.0585636
LAT	0.631712	0.725683
GCM1	0	0
WDR16	0.12027	0.0796725
C10orf113	0	0
KLF14	0.128739	0.0307629
C2orf78	0	0
C2orf54	0.119499	0.341038
FSHR	0	0
KIAA0087	0	0
ABHD16A	15.7757	16.0356
SESN1	22.1151	23.0245
MRPS35	53.4771	55.1576
GMEB1	5.46533	4.22857
HEY2	0.0162942	0
RNASEH2A	23.8992	27.3102
FBXL17	51.8739	53.2384
BACE1	9.91084	11.3116
SCAND1	66.8605	65.3711
ING4	27.981	23.0983
FAM25B	0	0
SMYD5	4.95556	5.30438
WFS1	11.8138	11.9098
TMEM131	5.63922	6.22922
PSMB7	99.5481	101.111
EXTL3	8.12318	9.35966
MFSD6	10.9198	10.4307
TOPBP1	8.55869	6.55051
STOML3	0	0
IPCEF1	0.195493	0.168258
CYP19A1	0	0
F3	0.91412	0.761212
CHPF2	6.98549	7.11158
ANKRD22	0.798331	0.762858
TMEM209	15.0557	12.3449
SLC25A19	9.47382	8.52904
AKAP13	2.19019	2.54297
PCDHB5	4.02227	4.38746
NACA	1014.67	1077.22
TOMM20	62.3104	64.3157
PPP2R2A	73.0043	85.2664
ACRV1	0.251273	0.194303
ACSL3	50.8545	49.7231
SLC2A6	7.19081	5.83254
SSBP1	204.351	211.429
LTB4R2	1.83414	1.48552
YWHAE	752.003	754.225
RP11-603J24.9	1.69633e-28	2.18444e-21
MAGT1	22.3621	21.9089
TMEM43	11.7183	12.1904
DCTN4	23.2494	26.4393
SLCO2B1	0	0
ANGPTL6	1.25504	0.942098
AC138393.1	0	0
CLU	37.4832	36.2241
AJUBA	12.3854	12.9735
MTX2	24.161	22.0898
EFHC2	0.590102	0.699752
BAG3	16.9969	17.5222
JOSD2	30.7649	33.3667
SLC35E1	18.4298	16.7205
KRTAP2-1	0	0
RSL24D1	39.0541	42.368
DRD2	0.0320533	0
LTBP2	0.7207	0.742467
AMIGO1	2.43467	2.32337
PARG	5.7458	6.08656
ZFAND2B	9.66562	10.7142
MRPL32	58.6617	62.845
SLC22A23	12.8591	12.7115
PBX2	11.3552	10.6801
CAV2	0	0
OR7A17	0	0
NPIPA3	2.03501	2.0693
TEPP	0	0
AC023469.1	0	0
AC115618.1	0.231587	0.073737
PLXDC2	1.82946	1.51096
ADK	48.9825	51.0998
TSPAN9	10.8354	11.2031
LRRC56	4.42778	3.73068
ZNF432	2.99397	2.38735
CHTOP	29.5494	30.6034
TWF1	35.8213	36.5494
KDSR	9.51581	9.40935
RPS6KA2	18.0922	17.8284
PTCD1	9.82534	9.92692
TLR1	0	0
NHLH2	0	0
TDP1	13.3067	16.0948
ACSBG2	0	0
GALE	28.0556	24.3783
TREML2	0	0
FBXO15	3.92533	4.33272
CYP4Z1	0	0.0228945
XRCC5	52.5793	53.9967
FAM83F	4.73963	5.18301
SLC13A3	3.9737	4.20636
KY	0	0
LPA	0.006384	0
THSD1	0.0483584	0
OR5AU1	0	0
LINGO3	0.210891	0.402695
C12orf61	0.388228	0.344415
OTUD7B	7.23782	7.16483
CYS1	0.0158984	0.015171
CD300LF	0	0
LRP1B	0.00241421	0
NEIL3	2.23867	2.64469
SERPINA3	1.48829	0.995189
GOLGA8H	0	0
ITPK1	85.4475	77.5837
PIGB	4.35165	5.01103
SLC25A11	68.9595	73.4749
PARP14	0.323538	0.347561
CEP170	4.26988	5.42283
RSPO3	0	0
WNT8A	0	0
TMEM179	2.80168	2.48353
GTF3C1	22.219	21.9922
IL17B	0	0
CNTNAP3B	0.0102389	0.00243995
FRA10AC1	7.28162	6.87919
FKSG61	0	0
CUTA	185.706	181.882
RNF168	4.05157	3.93303
OR4D2	0	0
ANKRD40	8.27879	8.78889
GVQW1	0.0752723	0.0958601
MMP16	24.397	23.9875
RNF112	0.0533554	0.050901
FBXL22	1.53151	1.71308
FAM110A	7.01791	7.36062
SPATA31A5	0	0
SERPINB3	0	0
OBSL1	2.10137	2.32313
CNOT7	31.2914	31.6228
IFT27	22.4496	24.8512
ALDH2	51.3349	51.9753
APC2	0.273298	0.12498
NXF1	27.9391	28.4056
CCNB1	62.4169	61.7519
MICALCL	0.14146	0.215942
AP002884.3	0	0.18361
ZSWIM7	19.4985	15.6238
AC091801.1	0	0.104476
RP11-204N11.1	0	0
COL11A2	0.168692	0.0705635
TMED6	0	0.0561581
AP1G2	34.1912	33.9205
NDUFA1	120.525	124.301
LRRC29	2.1223	2.04482
RFPL2	0.233658	0.472284
SPATA7	2.47446	2.23572
LRRC37A	0.711268	0.769055
TPM1	50.3098	51.9873
INSIG2	6.71392	6.87543
UAP1	66.3856	68.1205
CHID1	48.6285	47.2022
SKP2	7.43803	7.41897
KANSL3	10.2689	10.0748
FGFBP2	0	0
UQCRB	92.2965	81.0801
NGF	0	0
PHTF2	6.84518	7.67664
DAAM1	10.9136	10.8557
TTC9	1.20613	1.00627
ZNF80	0	0
NCBP2L	0	0.192722
FAM151B	0.758775	1.21676
EIF3A	79.8646	75.9909
TMEM30C	0	0
FCGR2B	0	0
QRICH1	16.2156	17.0769
FLII	29.2017	30.4971
TMX4	6.84576	6.8988
C7orf50	96.654	93.0401
UFSP1	9.89631	11.2414
GRIA2	0.160553	0.054044
SBNO1	11.3824	12.0777
KCND3	2.26782	1.83677
UCN2	0	0.0618819
TBX19	0.153918	0.142179
RASD1	3.68146	3.75613
FASTKD3	2.56073	3.11398
NECAB3	31.3667	33.6807
SLC5A6	12.6202	10.2392
SLC35B2	22.4494	20.9942
MRPS16	83.9905	78.1803
MRTO4	8.70924	7.98391
DRD1	0	0
CCNG2	52.9463	53.742
HIST1H2AM	7.3331	6.24773
BCL2L2-PABPN1	1.42204	3.86993
UQCRQ	529.072	532.197
SMIM18	0	0
NKX6-3	0	0
CBWD2	16.749	17.0772
SPECC1	16.3565	17.403
DBX1	0	0
AC010760.1	0	0
SERPINE3	0.174526	0.0740441
MORC3	3.53413	3.72813
OR8S1	0	0
TM4SF18	0.0109571	0.0588985
FAM161A	0.69968	0.740809
EPS8L3	0	0
PNMA6D	2.03598	1.77846
XCR1	0	0
SLC22A1	0.0663212	0.343659
SYT8	0	0
ADD3	8.53419	8.95958
PRPF40A	20.0717	21.0726
ZNF596	2.10124	2.54276
MRFAP1	253.371	244.748
TPD52L1	53.8502	59.7357
PLA1A	0.669943	0.926113
C2CD3	3.74714	3.3027
NGEF	13.7704	14.5928
SH3RF2	0	0.0135796
FOXA2	0	0
KLRC3	0	0.106703
CD3G	0	0
MYL6	763.079	779.341
ATP5G3	118.092	128.456
SLC36A2	0	0
RUNX3	0	0.0333988
GAGE12D	0	0
SFMBT1	6.15176	6.67273
FAM104B	9.69418	9.10874
HEATR6	4.22283	4.54424
C10orf76	9.12724	7.26628
BATF2	0.356255	0.0390452
TRIM44	14.7295	14.4892
DLG1	20.1901	19.6515
LDHC	0	0
C21orf54	0	0
NBR1	30.1785	31.3823
TRAPPC2	2.80606	3.17306
VPRBP	12.9479	13.3123
A4GNT	0	0
SLC26A10	0.0873803	0.159042
CYP4F31P	0.0594672	0.0189229
POLR2F	94.3186	91.5714
KRTAP22-2	0	0
ZNF717	5.35578	5.29821
ALKBH6	12.8972	12.2355
PDCL	7.77128	8.21719
MYO9B	6.25332	5.4011
PSG6	0	0
HN1L	173.306	162.075
TGS1	3.97841	4.44476
TCF20	6.05715	6.19169
LRRC10	0	0
PRSS48	0	0
ATG4B	15.7931	17.8591
OR2A42	0	0
PCDHB1	0	0
EFCAB7	3.6484	3.79424
ZNF527	1.76281	2.22417
FTCD	0.195117	0.139748
MTUS1	5.13071	5.73671
TFE3	14.1506	13.2247
RUNX1T1	0.00540257	0.0102998
BPIFB1	0.161481	0.0771319
IRS4	0.021389	0
