Node	OR	p	cluster_type2	Uniquely_enriched
ZEB2	3.5180124978335	0.0399644049882067	8.+.+	0
SMARCA5	3.50906707707658	1.5658605568848e-21	8.+.+	0
SMYD3	3.50797809733048	2.84614810269686e-12	8.+.+	0
ANKRD17	3.49711071192156	1.46248738324164e-09	8.+.+	0
SNCA	3.47482423705838	9.70318159362845e-16	8.+.+	0
ZBTB33	3.46280668041755	5.49429166282028e-05	8.+.+	0
RUVBL1	3.46020691217477	6.13671912102656e-16	8.+.+	0
SUV39H1	3.4594796834565	2.39352902040307e-10	8.+.+	0
REL	3.45502362108999	2.78624060237006e-22	8.+.+	0
PRKAA1	3.44281432308833	2.72801366142201e-10	8.+.+	0
KMT2B	3.44103533124418	0.0760903269013122	8.+.+	0
DRAP1	3.433341481716	3.46858643562287e-09	8.+.+	0
APEX1	3.42622096721449	6.99854188553853e-10	8.+.+	0
GNL3	3.42622096721449	6.99854188553853e-10	8.+.+	0
MTOR	3.42622096721449	6.99854188553853e-10	8.+.+	0
PTK2	3.42622096721449	6.99854188553853e-10	8.+.+	0
SETD7	3.42622096721449	6.99854188553853e-10	8.+.+	0
PSEN1	3.42610897006727	8.10603784683739e-22	8.+.+	0
CUX1	3.42523403664479	9.65316798300897e-15	8.+.+	0
MAPKAPK3	3.40955872827256	1.83731109276754e-21	8.+.+	0
AR	3.40511080405624	7.60353985479588e-07	8.+.+	0
KAT7	3.3924590903838	2.03001142722356e-09	8.+.+	0
ZHX1	3.38687780934301	2.94386739571874e-12	8.+.+	0
NR4A1	3.38441257332838	3.23147848483124e-09	8.+.+	0
ITCH	3.38335787598188	5.01223279725869e-13	8.+.+	0
RANGAP1	3.38285496857525	5.08785684680565e-07	8.+.+	0
SRSF11	3.36777711946681	2.82924882998961e-08	8.+.+	0
NFIA	3.35837731764805	3.29052702238091e-21	8.+.+	0
NR2C2	3.34964771047356	0.00129865510439073	8.+.+	0
XRCC1	3.33440145179594	2.93028826769803e-17	8.+.+	0
SKI	3.33369627658599	1.33958447763612e-17	8.+.+	0
ANKRD28	3.33052867124752	0.000840232268298777	8.+.+	0
HSPA4L	3.32749959439689	1.01170067647723e-10	8.+.+	0
STAT5B	3.31667162587443	1.45863010298429e-05	8.+.+	0
SMARCC1	3.30836915076496	7.782960874809e-21	8.+.+	0
USP47	3.3052629381161	1.42960283031236e-07	8.+.+	0
ENO1	3.29064210012784	0.000147597580568446	8.+.+	0
DAP3	3.28644861648475	9.55162311920284e-05	8.+.+	0
DCAF6	3.28644861648475	9.55162311920284e-05	8.+.+	0
FKBP5	3.28644861648475	9.55162311920284e-05	8.+.+	0
PTGES3	3.28644861648475	9.55162311920284e-05	8.+.+	0
TGFB1I1	3.28644861648475	9.55162311920284e-05	8.+.+	0
PIAS4	3.27571513008495	2.02082964117355e-20	8.+.+	0
MSH2	3.26891768046394	3.93377883820609e-17	8.+.+	0
ATF1	3.24944209179439	0.000260727094006316	8.+.+	0
TFIP11	3.24798957281412	2.75880222255309e-08	8.+.+	0
TOP1	3.24267319957407	2.38086254142573e-06	8.+.+	0
MAPK10	3.2386599537365	4.61991677538849e-16	8.+.+	0
EIF3A	3.23415031283707	4.46295506008402e-09	8.+.+	0
CBL	3.23185980686771	3.28317129091094e-07	8.+.+	0
SKP2	3.22758593579006	1.16262680853037e-16	8.+.+	0
L3MBTL1	3.22259375356013	7.10751899968256e-09	8.+.+	0
SFN	3.20802987524925	1.24616162754573e-09	8.+.+	0
ETS1	3.20760301971877	1.02973961152576e-19	8.+.+	0
TOX4	3.19956495095389	4.01698920821066e-09	8.+.+	0
BHLHE40	3.18898036290833	1.54431392191092e-19	8.+.+	0
TCF4	3.18198435859874	2.62736838800544e-10	8.+.+	0
GAPDH	3.16853640899248	2.18010271771468e-07	8.+.+	0
AES	3.16813933658948	1.10060407542485e-19	8.+.+	0
EBP	3.16163987043217	0.00302866274309229	8.+.+	0
ELF3	3.16130930598521	4.87018708404877e-18	8.+.+	0
ZMYND11	3.15577345124745	0.000811187597386286	8.+.+	0
ACTB	3.139923090215	6.44102934357855e-09	8.+.+	0
EEF2	3.13720470035328	4.06572408404206e-08	8.+.+	0
TUBB	3.13720470035328	4.06572408404206e-08	8.+.+	0
VRK1	3.13720470035328	4.06572408404206e-08	8.+.+	0
RPS6KA5	3.12147786171456	6.55014531554909e-15	8.+.+	0
NIN	3.11592759310392	4.43490889566226e-06	8.+.+	0
TOP2A	3.11163034609488	1.47882317387059e-05	8.+.+	0
PHF8	3.10230377189295	7.26192606750588e-19	8.+.+	0
NR2F2	3.09806739076559	3.15814808947609e-09	8.+.+	0
AGTRAP	3.09464617678563	2.33170337168928e-12	8.+.+	0
GPS2	3.09172157827228	5.00340593367695e-06	8.+.+	0
SMARCA1	3.0898794954355	4.64993499222715e-14	8.+.+	0
FOXK1	3.07996449327743	7.86718884305793e-13	8.+.+	0
CDC73	3.0763592943638	1.49073726682662e-15	8.+.+	0
TSG101	3.06787669593947	5.63786565942599e-06	8.+.+	0
KPNA3	3.06445892596098	2.12660407378739e-18	8.+.+	0
EXOSC8	3.06160841660615	1.77795130287789e-12	8.+.+	0
KIF2C	3.04930802659731	0.00162010899287292	8.+.+	0
TRIM26	3.04570319809539	6.62260185791242e-09	8.+.+	0
TP73	3.03560155512202	9.73949713199949e-17	8.+.+	0
FHL3	3.03039001614684	3.35194342532234e-16	8.+.+	0
ATR	3.0290100637956	1.77734295588184e-15	8.+.+	0
PIK3R1	3.02013930665238	7.62720583414146e-09	8.+.+	0
PHB2	3.00942808401124	7.8599915902387e-08	8.+.+	0
JUN	3.00003612471498	0.000260253916082952	8.+.+	0
WDFY3	2.99538321627278	0.000168604840240773	8.+.+	0
GTF2F1	2.99184892367571	0.000555321853541555	8.+.+	0
HSF1	2.97369257903611	0.173525534827832	8.+.+	0
ATXN3	2.96643684973955	0.324616957608451	8.+.+	0
EEF1D	2.95199572202816	7.72547906770449e-17	8.+.+	0
FUS	2.9414639517362	4.59819199384074e-15	8.+.+	0
CDKN1B	2.9395969897067	3.25379383418404e-16	8.+.+	0
NFIC	2.93607382962967	2.11995763349671e-17	8.+.+	0
RUNX2	2.91186747188518	1.48344109954887e-14	8.+.+	0
KDM2A	2.91097087132647	3.8401771011259e-11	8.+.+	0
PRKDC	2.90414028523705	5.68824634056507e-17	8.+.+	0
RBM14	2.90070475818514	4.65270724409076e-06	8.+.+	0
PLK1	2.88933458210904	2.36091969169219e-16	8.+.+	0
COPS2	2.88184302534656	8.41890666584617e-06	8.+.+	0
HDAC6	2.8816307818733	1.16691782241768e-08	8.+.+	0
HSP90B1	2.85943398992148	1.19134071640283e-10	8.+.+	0
SOX9	2.84508290330275	6.34121752883043e-06	8.+.+	0
DVL2	2.82440999518508	2.18002993717781e-11	8.+.+	0
NBN	2.81448811136671	3.46852732030007e-06	8.+.+	0
SMAD1	2.79476136197452	4.9032134014388e-15	8.+.+	0
GADD45GIP1	2.78791866011621	7.6969569862708e-13	8.+.+	0
IRF5	2.78612988959448	2.83893416376856e-06	8.+.+	0
SMARCC2	2.7828464831956	4.69311777779876e-15	8.+.+	0
CTBP2	2.77522446584899	5.55049388564242e-15	8.+.+	0
TDG	2.767028786238	5.57947240224813e-13	8.+.+	0
CSNK1A1	2.7670235608959	0.000109447384203851	8.+.+	0
MAGED1	2.75548681078194	0.00234883291769202	8.+.+	0
PCGF2	2.7548453108818	0.00702500514866961	8.+.+	0
KDM5A	2.74547920125911	7.91013924219541e-05	8.+.+	0
ZBTB10	2.74547920125911	7.91013924219541e-05	8.+.+	0
STK40	2.74116979248747	0.015298191907468	8.+.+	0
NFKB2	2.7353933285878	1.97570163306121e-05	8.+.+	0
LEF1	2.72553797320573	4.01489485030238e-06	8.+.+	0
FBXO11	2.70982264421258	0.00188269648384681	8.+.+	0
BIRC3	2.70905965833878	3.12662514135231e-15	8.+.+	0
TLE4	2.70268706477561	0.196956607084533	8.+.+	0
NRF1	2.69633568244541	3.28292706182808e-05	8.+.+	0
NSD1	2.68470607508034	3.03945175062124e-07	8.+.+	0
SMC1A	2.68463250776443	2.62790609253454e-11	8.+.+	0
APLP2	2.6784684728441	0.000196506900920172	8.+.+	0
SCAND1	2.6714129601771	3.96706842367907e-11	8.+.+	0
TRIM23	2.66609431320268	1.597704379962e-06	8.+.+	0
PBX2	2.65978021436858	1.90356870475457e-08	8.+.+	0
HDAC5	2.64610274948307	1.34760273477215e-14	8.+.+	0
MED12	2.6390244347994	3.76921767117479e-14	8.+.+	0
SMARCE1	2.63804825546842	1.86779128939945e-13	8.+.+	0
TRIB1	2.61424621373797	0.0135113638480708	8.+.+	0
MED17	2.60764888275815	0.00356015588105194	8.+.+	0
DPY30	2.60730519465452	0.00495748100716999	8.+.+	0
TMF1	2.60321458679956	6.97048427302572e-05	8.+.+	0
CDK5	2.59474592009792	0.000257572497248442	8.+.+	0
CDC27	2.57892332025354	5.31342982849542e-08	8.+.+	0
NOTCH1	2.57189196030768	2.38852786600856e-13	8.+.+	0
PAK1	2.57146779875599	1.6016419543043e-07	8.+.+	0
VDR	2.56356979968856	2.63040611454969e-09	8.+.+	0
PSIP1	2.55865853514976	1.74804253965351e-06	8.+.+	0
UBR5	2.55149245483409	0.00319480479444967	8.+.+	0
EEF1A1	2.54550377070255	0.00464291041494925	8.+.+	0
TRIM27	2.54078315017582	6.09857135751913e-10	8.+.+	0
NR2F6	2.53967597917836	1.10720170766471e-06	8.+.+	0
SMARCD1	2.53763261996449	4.90243347312469e-07	8.+.+	0
MAFF	2.53053879218359	0.00232931439282136	8.+.+	0
MBD1	2.52821640920673	2.57119795617819e-08	8.+.+	0
TFAP4	2.52394773655088	9.85324216569436e-07	8.+.+	0
RECQL	2.49075285868609	1.15276138281091e-12	8.+.+	0
SETDB1	2.48508722902122	0.00509922791023751	8.+.+	0
YWHAZ	2.48485545102364	7.06713759447064e-07	8.+.+	0
SP4	2.47240455814205	3.93316809873474e-05	8.+.+	0
H2AFY	2.46364644328415	6.22623161978442e-11	8.+.+	0
LDB1	2.45865414375442	0.0255961809140736	8.+.+	0
NCOA3	2.45135046057794	5.647072613066e-10	8.+.+	0
NCOA4	2.40233920312876	0.0013242752827773	8.+.+	0
NFIX	2.39529958608701	5.08155135289339e-12	8.+.+	0
ATM	2.39288202851982	7.11009525366042e-12	8.+.+	0
RECQL5	2.39147021650245	6.82203772175412e-06	8.+.+	0
E2F4	2.38810546983753	0.107353905911174	8.+.+	0
KMT2C	2.38775202719268	0.00185674594814594	8.+.+	0
TOLLIP	2.37958278467744	0.00341668291913744	8.+.+	0
HSP90AB1	2.37486542523713	1.15841470695432e-11	8.+.+	0
SFPQ	2.36655456043203	0.0565719988383305	8.+.+	0
RPA2	2.35793961627131	3.61316766081484e-11	8.+.+	0
FOXO1	2.35137109171935	0.15922711013762	8.+.+	0
SMAD7	2.33413148693027	6.83061423097641e-06	8.+.+	0
YBX1	2.33163128514932	2.51256822641683e-11	8.+.+	0
TBK1	2.32253826430648	3.63026644251887e-07	8.+.+	0
TFCP2	2.32223628658424	2.33290486950395e-05	8.+.+	0
PIAS3	2.30960923155176	1.39082615630114e-08	8.+.+	0
HIC1	2.30749513360208	4.37224401569609e-06	8.+.+	0
MTA1	2.30229464498075	1.08686009472236e-06	8.+.+	0
SAP130	2.29566271053851	0.118045167362028	8.+.+	0
SNW1	2.28783834441681	1.10662965492121e-05	8.+.+	0
USP7	2.28718607546766	7.83182473507402e-11	8.+.+	0
SERTAD1	2.28615324097552	0.24474044455279	8.+.+	0
MED14	2.28283947922975	8.28939592896274e-05	8.+.+	0
RXRB	2.28132966367876	3.53818825477548e-09	8.+.+	0
RCC1	2.27045998716793	6.00827927827507e-06	8.+.+	0
FZR1	2.26519283278724	0.0889140836118443	8.+.+	0
PPP3CB	2.26119816250837	0.0390427792112228	8.+.+	0
ATF6	2.23688031721562	1.95627280265393e-08	8.+.+	0
FKBP4	2.22128645617551	1.21227949705304e-05	8.+.+	0
CDK8	2.21630345712886	0.000225538417269956	8.+.+	0
RANBP9	2.19239056412566	3.68627468331445e-07	8.+.+	0
RBPJ	2.18992836373208	9.54533195181346e-10	8.+.+	0
PATZ1	2.18263528152285	6.61232082247152e-10	8.+.+	0
MECP2	2.18104351166049	1.18065937772948e-09	8.+.+	0
NR3C1	2.1684963399253	2.96443768878583e-09	8.+.+	0
BRD7	2.16183869387392	0.00166452688402039	8.+.+	0
TCF3	2.16074490713081	0.024808914235712	8.+.+	0
ZBTB7A	2.16073273971495	0.00186442134532637	8.+.+	0
PPP3CA	2.15203212548464	0.0449438820815441	8.+.+	0
COPS5	2.14020010413175	2.69137463886888e-08	8.+.+	0
MUC1	2.13846450170119	0.000232712655039456	8.+.+	0
MAX	2.13415007823841	4.55051841520494e-07	8.+.+	0
DCAF7	2.12639437186192	0.19133537388144	8.+.+	0
LATS2	2.07485121429313	0.00417512489787222	8.+.+	0
KAT2A	2.07241876701242	1.17654989208847e-08	8.+.+	0
SENP3	2.07042199735384	0.00017573113232312	8.+.+	0
STAT3	2.06921960729891	0.000167495114818958	8.+.+	0
STAT1	2.05064833041635	2.04834745659028e-08	8.+.+	0
MAPK3	2.04735141727187	5.49549661378636e-08	8.+.+	0
ISG15	2.04289685377636	2.8085431620483e-07	8.+.+	0
TRAF6	2.03499198007271	0.000336424488314683	8.+.+	0
BLZF1	2.01851977993174	0.186705166336582	8.+.+	0
DAXX	1.98848484088435	5.22428914404318e-08	8.+.+	0
UCHL5	1.98769055504924	0.164991703106691	8.+.+	0
MED31	1.98696065451432	0.0226100903490352	8.+.+	0
HOXB9	1.97824145778259	4.28869456471535e-05	8.+.+	0
PRMT1	1.97734009012853	2.72418070468189e-06	8.+.+	0
TFDP1	1.97715063908743	1.68747913213989e-06	8.+.+	0
LRIF1	1.95762327517818	0.000162190970482615	8.+.+	0
HSPA8	1.92501343391441	2.32501888578274e-06	8.+.+	0
IRF2BP1	1.90685549644584	0.111336421960855	8.+.+	0
MAPK9	1.90431344917532	6.63350084885922e-07	8.+.+	0
RFWD2	1.89362982970907	6.93433354001862e-07	8.+.+	0
COPS6	1.89145905089608	0.00572088217394012	8.+.+	0
NLK	1.87728261496471	8.65929040633353e-05	8.+.+	0
HIRA	1.87269258066884	0.0352107927381924	8.+.+	0
UBP1	1.86912053572031	0.152278113043439	8.+.+	0
ZSCAN32	1.86588374572738	0.204634801204947	8.+.+	0
TEAD1	1.8650564640652	9.20307766067177e-05	8.+.+	0
DCTN1	1.86050863753743	0.00260630685759751	8.+.+	0
SAP30L	1.8561081262698	0.316882094923128	8.+.+	0
ABL1	1.85356359571315	0.00265499061737284	8.+.+	0
NRBF2	1.85011749864168	0.0279171530915646	8.+.+	0
TOP2B	1.84757358416643	0.0120194846710057	8.+.+	0
TADA3	1.84413643607775	0.000632188166107849	8.+.+	0
CCND3	1.82647346064874	0.000129640246358453	8.+.+	0
UBE3A	1.82307888294452	0.000253725594710463	8.+.+	0
CCNH	1.80881722692719	0.00268241106224615	8.+.+	0
MNAT1	1.80523849381764	0.00088493832766298	8.+.+	0
MED15	1.8018977940074	0.00705272784613777	8.+.+	0
ATF4	1.79872064288703	0.000480916212382485	8.+.+	0
CREB5	1.79028281735806	0.14320686473541	8.+.+	0
HDAC9	1.7820138589198	0.0973123997927032	8.+.+	0
ETS2	1.77314087307289	0.00841500590019036	8.+.+	0
NR1H2	1.76605488021875	0.000845370341378824	8.+.+	0
MCRS1	1.75858904831923	0.00608845668610271	8.+.+	0
SRF	1.75267052941703	1.09937396496582e-05	8.+.+	0
KDM1A	1.75248963621531	5.35484797920109e-05	8.+.+	0
PABPN1	1.73179849788184	0.119330186853867	8.+.+	0
MAF	1.72144877396921	0.0570313472708417	8.+.+	0
NFATC4	1.71672163717331	0.200384051136179	8.+.+	0
MYB	1.7094523572917	0.123493196482221	8.+.+	0
KAT6A	1.70087219849286	0.00560820521145771	8.+.+	0
HES1	1.69413285609304	0.00803545830429048	8.+.+	0
MED1	1.69215432917965	4.43687634734124e-05	8.+.+	0
FOXA1	1.69040121268088	0.000257370542769413	8.+.+	0
SATB2	1.68551444917384	0.0010004979833715	8.+.+	0
TRIP6	1.68247685526105	0.0110263882097675	8.+.+	0
EGFR	1.67735987950168	0.00053643914242455	8.+.+	0
PKNOX1	1.64919768491385	0.364177586694672	8.+.+	0
MAPK7	1.63033596288864	0.00408539970480762	8.+.+	0
NRIP1	1.62465587182341	0.00439875901063946	8.+.+	0
PRDX6	1.62111918898657	0.165075674404019	8.+.+	0
E2F6	1.60893144355449	0.326961131431937	8.+.+	0
STUB1	1.59492560989153	0.000205718818642983	8.+.+	0
PBX1	1.57587345352888	0.00257750400761711	8.+.+	0
MED23	1.5709754520238	0.000637618416250425	8.+.+	0
TRIM28	1.54937541388891	0.000697455983128471	8.+.+	0
ZBTB7C	1.54916699755314	0.202882076952669	8.+.+	0
STAT5A	1.52385178277196	0.0349976963936554	8.+.+	0
RBPMS	1.50155068659395	0.0340048038969656	8.+.+	0
SRC	1.48675758928844	0.00442555015738722	8.+.+	0
COIL	1.48180749403446	0.513233010726	8.+.+	0
ELAC2	1.48180749403446	0.513233010726	8.+.+	0
RBM48	1.45356706029212	0.241349072875984	8.+.+	0
BAG1	1.44197323169252	0.126650706996106	8.+.+	0
E2F1	1.4266816549442	0.00591382844238703	8.+.+	0
TEAD2	1.41890255273984	0.00743058163237406	8.+.+	0
DDB1	1.41114604513216	0.0416501830755949	8.+.+	0
HMGB2	1.40028304533787	0.218253454591849	8.+.+	0
BACH1	1.38208236122317	0.0371304012594223	8.+.+	0
SMARCA2	1.3677605792509	0.168308863636477	8.+.+	0
MAFB	1.36240535346977	0.102247702149309	8.+.+	0
HDAC7	1.35404216010659	0.0723694086233657	8.+.+	0
TP53	1.35289323152515	0.175278554541513	8.+.+	0
NCOA2	1.32487744154454	0.0349759482094345	8.+.+	0
PNRC2	1.30964042231617	0.309289960522083	8.+.+	0
NCOA1	1.30802392626361	0.0320258815101796	8.+.+	0
MED25	1.29797709519112	0.452323832172825	8.+.+	0
MYD88	1.27847398899508	0.233980669023651	8.+.+	0
ARRB1	1.24757530711657	0.176062508784872	8.+.+	0
NCOA6	1.2473529320789	0.120138697700958	8.+.+	0
HDAC4	1.24320218744926	0.112667015593694	8.+.+	0
SPTBN1	1.20915404517482	0.252987783065687	8.+.+	0
ACTN4	1.20465497081557	0.261558270156314	8.+.+	0
SUMO1	1.19677951877653	0.192745712038634	8.+.+	0
NFE2L1	1.18991268079661	0.508281729360912	8.+.+	0
ATF3	1.18917431388829	0.187947377074127	8.+.+	0
DDIT3	1.13800060008393	0.411844648017826	8.+.+	0
NFKB1	1.12587476855069	0.3475939293119	8.+.+	0
CREB1	1.11619457059845	0.407457738872078	8.+.+	0
AKT1	1.10113477959665	0.515802953979139	8.+.+	0
NFIB	1.08396129447435	0.75614434416527	8.+.+	0
CLOCK	1.07690286083826	0.855533246614375	8.+.+	0
TFAP2C	1.05064892169463	0.857430179489597	8.+.+	0
ATF2	1.04293686675332	0.756206759057481	8.+.+	0
ZBTB16	1.04230563570364	0.779226922726316	8.+.+	0
FOXP4	0.986767688060135	1	8.+.+	0
RELA	0.973365068324987	0.842747014917401	8.+.+	0
MYC	0.930371834954391	0.61853869120762	8.+.+	0
TFAP2A	0.890778990387153	0.741439578131298	8.+.+	0
ATF7	0.881776117616253	0.627613895601367	8.+.+	0
NFE2L2	0.71560163133696	0.0420965216620785	8.+.+	0
NCBP1	0.690482622585627	0.798559761772977	8.+.+	0
PTPN6	0.671661286194699	1	8.+.+	0
KLF5	0.113877299093311	1.97958948394392e-05	8.+.+	0
EGR1	0.110604251511057	4.86816652508721e-10	8.+.+	0
SP1	0.0266843785167308	1.34128920736744e-13	8.+.+	0
IRF2BP2	0	1	8.+.+	0
MITF	0	1	8.+.+	0
PNMA1	0	1	8.+.+	0
